REGION,FUEL,YEAR,VALUE
GLOBAL,ELCESPXX02,2026,1824.88
GLOBAL,ELCFRAXX02,2026,2934.55
GLOBAL,ELCITAXX02,2026,1805.33
GLOBAL,ELCLUXXX02,2026,35.56
GLOBAL,ELCNLDXX02,2026,767.01
GLOBAL,ELCPRTXX02,2026,256.43
GLOBAL,ELCAUTXX02,2027,283.7
GLOBAL,ELCBELXX02,2027,594.65
GLOBAL,ELCCHEXX02,2027,324.94
GLOBAL,ELCDEUXX02,2027,2967.69
GLOBAL,ELCESPXX02,2027,1843.9
GLOBAL,ELCFRAXX02,2027,2966.9
GLOBAL,ELCITAXX02,2027,1827.39
GLOBAL,ELCLUXXX02,2027,36.24
GLOBAL,ELCNLDXX02,2027,775.64
GLOBAL,ELCPRTXX02,2027,261.8
GLOBAL,ELCAUTXX02,2028,287.93
GLOBAL,ELCBELXX02,2028,599.63
GLOBAL,ELCCHEXX02,2028,329.78
GLOBAL,ELCDEUXX02,2028,2995.09
GLOBAL,ELCESPXX02,2028,1862.91
GLOBAL,ELCFRAXX02,2028,2999.26
GLOBAL,ELCITAXX02,2028,1849.44
GLOBAL,ELCLUXXX02,2028,36.92
GLOBAL,ELCNLDXX02,2028,784.27
GLOBAL,ELCPRTXX02,2028,267.17
GLOBAL,ELCAUTXX02,2029,292.16
GLOBAL,ELCBELXX02,2029,604.61
GLOBAL,ELCCHEXX02,2029,334.62
GLOBAL,ELCDEUXX02,2029,3022.48
GLOBAL,ELCESPXX02,2029,1881.92
GLOBAL,ELCFRAXX02,2029,3031.61
GLOBAL,ELCITAXX02,2029,1871.5
GLOBAL,ELCLUXXX02,2029,37.6
GLOBAL,ELCNLDXX02,2029,792.91
GLOBAL,ELCPRTXX02,2029,272.54
GLOBAL,ELCAUTXX02,2030,296.38
GLOBAL,ELCBELXX02,2030,609.59
GLOBAL,ELCCHEXX02,2030,339.46
GLOBAL,ELCDEUXX02,2030,3049.88
GLOBAL,ELCESPXX02,2030,1900.94
GLOBAL,ELCFRAXX02,2030,3063.97
GLOBAL,ELCITAXX02,2030,1893.55
GLOBAL,ELCLUXXX02,2030,38.29
GLOBAL,ELCNLDXX02,2030,801.54
GLOBAL,ELCPRTXX02,2030,277.91
GLOBAL,ELCAUTXX02,2031,300.6
GLOBAL,ELCBELXX02,2031,614.75
GLOBAL,ELCCHEXX02,2031,344.25
